throughput,findClus,RawToDigi_kernel,kernelLineFit3,kernelLineFit4,kernel_connect,getHits,kernel_find_ntuplets,fishbone,clusterChargeCut,calibDigis,countModules,kernelFastFit3,kernelFastFit4,kernelFastFit5,kernelLineFit5,kernel_fillHitDetIndices,kernel_mark_used,finalizeBulk,kernel_earlyDuplicateRemover,kernel_countMultiplicity,kernel_fillMultiplicity,kernel_checkOverflows,initDoublets,kernel_classifyTracks,kernel_fishboneCleaner,kernel_fastDuplicateRemover,kernel_countHitInTracks,kernel_fillHitInTracks,kernel_tripletCleaner,kernel_doStatsForHitInTracks,kernel_doStatsForTracks
1172.69,160,32,256,64,128,32,256,32,64,64,96,224,224,128,32,128,32,64,96,192,256,256,256,96,32,64,32,96,128,64,192
1147.13,224,96,64,224,192,192,160,96,64,160,192,96,256,64,192,96,64,96,32,160,128,192,32,224,160,64,64,128,224,224,256
1132.42,192,64,96,224,64,224,192,160,192,224,128,32,128,224,128,160,224,64,64,96,192,96,256,160,256,96,160,32,96,64,96
1141.98,192,224,64,192,64,224,96,160,256,32,160,160,64,224,160,64,160,64,160,256,224,256,128,192,160,224,224,256,128,224,224
1154.51,256,32,128,32,256,128,224,96,32,64,192,32,128,128,32,128,192,64,64,160,224,224,256,32,192,160,224,128,64,128,256
1151.97,224,192,32,192,64,96,160,128,256,160,128,32,192,192,128,256,160,256,32,96,128,192,256,96,64,224,96,224,160,128,64
1135.94,96,192,192,160,256,224,160,32,128,128,96,96,224,32,96,256,96,192,256,96,64,160,64,256,32,224,32,192,128,160,128
1205.1,96,64,128,32,128,96,96,224,224,32,224,128,256,64,32,192,256,256,160,192,128,64,128,32,192,192,160,32,256,256,128
1198.81,64,224,32,32,256,160,64,64,32,96,32,256,64,128,192,160,96,64,32,160,128,32,256,32,256,160,96,96,128,96,128
1123.19,256,224,64,64,256,192,64,32,224,256,192,128,256,224,192,256,128,160,256,160,256,160,192,192,160,192,256,128,256,128,192
1212.0,160,192,256,224,256,96,128,128,32,192,32,64,256,192,224,128,32,64,160,224,96,32,224,64,64,128,256,64,160,160,32
1147.03,96,128,192,224,64,256,256,96,64,224,160,64,128,96,224,224,160,32,32,128,160,256,192,224,224,64,96,256,64,32,32
1168.31,160,160,64,96,256,32,224,32,160,32,64,96,32,64,96,192,96,32,128,128,64,96,224,192,256,128,32,224,96,256,96
1136.15,224,224,128,128,128,224,96,32,128,224,256,32,160,64,224,256,128,160,96,96,256,224,32,256,128,160,160,256,192,192,32
1209.95,128,64,64,128,192,96,128,64,224,96,224,192,96,32,160,224,256,224,224,128,96,128,128,32,224,64,160,32,128,160,224
1196.79,128,96,160,96,128,128,160,256,224,224,192,32,32,160,224,160,64,64,192,96,128,32,160,128,160,256,32,128,128,32,32
1190.26,192,128,192,32,128,96,192,224,32,128,192,224,64,160,160,224,96,256,96,256,32,256,128,32,128,128,192,256,64,224,32
1191.49,192,256,224,96,192,192,128,128,64,256,256,64,96,160,128,96,224,64,224,128,128,32,96,256,256,224,32,64,224,64,96
1145.73,224,160,128,128,64,256,128,64,32,160,96,224,192,96,192,192,128,224,96,256,32,96,192,96,64,64,128,192,192,192,160
1147.2,64,32,160,64,256,224,64,224,256,96,64,32,224,192,224,192,64,96,224,160,32,32,96,64,128,256,96,128,128,224,64
1210.49,96,32,160,96,64,128,32,64,160,224,96,128,224,64,32,192,224,224,256,256,160,192,96,192,224,256,32,160,128,64,256
1199.56,128,160,64,192,128,192,64,64,256,256,96,32,32,160,128,64,96,160,160,64,128,64,64,224,160,256,96,192,64,192,64
1186.13,256,128,128,256,128,128,128,192,160,64,192,224,192,96,96,192,64,256,256,160,128,224,256,128,96,192,192,96,96,64,192
1120.78,224,192,192,192,192,192,224,160,224,128,64,224,256,128,32,32,224,192,192,224,256,32,224,224,224,256,256,32,192,224,224
1114.72,224,32,160,160,64,256,96,32,32,128,32,128,96,96,224,224,160,32,192,128,32,128,96,128,256,192,160,128,160,64,192
1172.0,128,224,256,256,64,32,224,32,128,96,64,96,64,64,32,160,32,192,96,224,224,224,64,32,192,96,128,64,160,32,160
1160.71,224,224,64,256,256,64,256,224,128,256,64,128,128,128,192,256,192,64,64,96,32,192,256,160,128,160,192,32,32,96,224
1165.78,128,224,32,224,128,128,224,32,224,256,128,96,224,160,224,160,256,256,160,256,96,32,160,256,160,256,192,32,256,160,64
1178.12,160,256,64,224,192,192,128,32,64,96,192,160,256,224,64,192,64,224,96,64,192,160,160,128,160,160,32,256,64,64,192
1186.09,192,32,64,128,192,160,96,256,32,224,64,32,32,160,224,32,96,224,32,96,160,128,256,192,128,32,224,160,160,256,224
1180.86,96,160,128,224,192,192,64,256,224,224,192,160,256,224,192,192,96,256,128,160,256,64,96,160,224,256,160,192,128,96,160
1195.64,64,192,192,96,64,160,64,160,64,96,96,128,160,32,192,128,64,160,64,128,256,64,192,160,256,32,64,32,224,224,160
1127.48,64,128,224,224,192,224,256,32,64,160,192,32,128,32,224,160,64,256,32,96,256,128,96,160,32,192,192,64,64,32,32
1159.63,64,256,160,256,192,160,224,160,224,64,96,128,192,128,192,128,256,64,96,160,192,32,256,160,256,256,32,160,224,128,64
1192.09,96,128,224,128,256,160,192,160,128,32,96,192,256,32,256,160,96,64,128,224,256,192,96,256,192,160,96,64,32,192,128
1155.22,96,32,224,192,256,256,128,160,224,32,64,160,64,160,96,128,160,224,128,96,96,256,128,256,64,64,96,192,128,64,32
1171.9,160,192,256,224,128,192,224,224,160,256,224,32,160,128,256,128,128,32,128,96,160,160,96,224,224,128,96,128,160,192,64
